"Subject","Start Date","Start Time","End Date","End Time","All Day Event","Description"
"Bible reading","02/08/14","06:00:00 AM","02/08/14","06:30:00 AM","False","Mark 11; Genesis 39; 2 Corinthians 7; 1 John 4; Job 39; Psalms 39; Proverbs 8; Judges 15; Isaiah 39; Acts 11

http://www.biblegateway.com/passage/?search=Mark%2011,%20Genesis%2039,%202%20Corinthians%207,%201%20John%204,%20Job%2039,%20Psalms%2039,%20Proverbs%208,%20Judges%2015,%20Isaiah%2039,%20Acts%2011&version=NLT"
"Bible reading","02/09/14","06:00:00 AM","02/09/14","06:30:00 AM","False","Mark 12; Genesis 40; 2 Corinthians 8; 1 John 5; Job 40; Psalms 40; Proverbs 9; Judges 16; Isaiah 40; Acts 12

http://www.biblegateway.com/passage/?search=Mark%2012,%20Genesis%2040,%202%20Corinthians%208,%201%20John%205,%20Job%2040,%20Psalms%2040,%20Proverbs%209,%20Judges%2016,%20Isaiah%2040,%20Acts%2012&version=NLT"
"Bible reading","02/10/14","06:00:00 AM","02/10/14","06:30:00 AM","False","Mark 13; Genesis 41; 2 Corinthians 9; 2 John 1; Job 41; Psalms 41; Proverbs 10; Judges 17; Isaiah 41; Acts 13

http://www.biblegateway.com/passage/?search=Mark%2013,%20Genesis%2041,%202%20Corinthians%209,%202%20John%201,%20Job%2041,%20Psalms%2041,%20Proverbs%2010,%20Judges%2017,%20Isaiah%2041,%20Acts%2013&version=NLT"
"Bible reading","02/11/14","06:00:00 AM","02/11/14","06:30:00 AM","False","Mark 14; Genesis 42; 2 Corinthians 10; 3 John 1; Job 42; Psalms 42; Proverbs 11; Judges 18; Isaiah 42; Acts 14

http://www.biblegateway.com/passage/?search=Mark%2014,%20Genesis%2042,%202%20Corinthians%2010,%203%20John%201,%20Job%2042,%20Psalms%2042,%20Proverbs%2011,%20Judges%2018,%20Isaiah%2042,%20Acts%2014&version=NLT"
"Bible reading","02/12/14","06:00:00 AM","02/12/14","06:30:00 AM","False","Mark 15; Genesis 43; 2 Corinthians 11; Jude 1; Ecclesiastes 1; Psalms 43; Proverbs 12; Judges 19; Isaiah 43; Acts 15

http://www.biblegateway.com/passage/?search=Mark%2015,%20Genesis%2043,%202%20Corinthians%2011,%20Jude%201,%20Ecclesiastes%201,%20Psalms%2043,%20Proverbs%2012,%20Judges%2019,%20Isaiah%2043,%20Acts%2015&version=NLT"
"Bible reading","02/13/14","06:00:00 AM","02/13/14","06:30:00 AM","False","Mark 16; Genesis 44; 2 Corinthians 12; Revelation 1; Ecclesiastes 2; Psalms 44; Proverbs 13; Judges 20; Isaiah 44; Acts 16

http://www.biblegateway.com/passage/?search=Mark%2016,%20Genesis%2044,%202%20Corinthians%2012,%20Revelation%201,%20Ecclesiastes%202,%20Psalms%2044,%20Proverbs%2013,%20Judges%2020,%20Isaiah%2044,%20Acts%2016&version=NLT"
"Bible reading","02/14/14","06:00:00 AM","02/14/14","06:30:00 AM","False","Luke 1; Genesis 45; 2 Corinthians 13; Revelation 2; Ecclesiastes 3; Psalms 45; Proverbs 14; Judges 21; Isaiah 45; Acts 17

http://www.biblegateway.com/passage/?search=Luke%201,%20Genesis%2045,%202%20Corinthians%2013,%20Revelation%202,%20Ecclesiastes%203,%20Psalms%2045,%20Proverbs%2014,%20Judges%2021,%20Isaiah%2045,%20Acts%2017&version=NLT"
"Bible reading","02/15/14","06:00:00 AM","02/15/14","06:30:00 AM","False","Luke 2; Genesis 46; Galatians 1; Revelation 3; Ecclesiastes 4; Psalms 46; Proverbs 15; Ruth 1; Isaiah 46; Acts 18

http://www.biblegateway.com/passage/?search=Luke%202,%20Genesis%2046,%20Galatians%201,%20Revelation%203,%20Ecclesiastes%204,%20Psalms%2046,%20Proverbs%2015,%20Ruth%201,%20Isaiah%2046,%20Acts%2018&version=NLT"
"Bible reading","02/16/14","06:00:00 AM","02/16/14","06:30:00 AM","False","Luke 3; Genesis 47; Galatians 2; Revelation 4; Ecclesiastes 5; Psalms 47; Proverbs 16; Ruth 2; Isaiah 47; Acts 19

http://www.biblegateway.com/passage/?search=Luke%203,%20Genesis%2047,%20Galatians%202,%20Revelation%204,%20Ecclesiastes%205,%20Psalms%2047,%20Proverbs%2016,%20Ruth%202,%20Isaiah%2047,%20Acts%2019&version=NLT"
"Bible reading","02/17/14","06:00:00 AM","02/17/14","06:30:00 AM","False","Luke 4; Genesis 48; Galatians 3; Revelation 5; Ecclesiastes 6; Psalms 48; Proverbs 17; Ruth 3; Isaiah 48; Acts 20

http://www.biblegateway.com/passage/?search=Luke%204,%20Genesis%2048,%20Galatians%203,%20Revelation%205,%20Ecclesiastes%206,%20Psalms%2048,%20Proverbs%2017,%20Ruth%203,%20Isaiah%2048,%20Acts%2020&version=NLT"
